arquivo_final,nome_original,pacote,fonte_url,autor,licenca,data_download,sha256,destino_no_jogo,observacao
Asphalt033_1K-JPG.zip,Asphalt033_1K-JPG.zip,ambientCG Asphalt033,https://ambientcg.com/view?id=Asphalt033,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,c71801b342dbea594dbdd0bd2ddc0a6d13f813c923fca408b9f5b9ee5e58aba2,XB_DOWNLOADS/textures/road/Asphalt033/,asfalto da pista
Road007_1K-JPG.zip,Road007_1K-JPG.zip,ambientCG Road007,https://ambientcg.com/view?id=Road007,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,0a81951ed6a3fc55e8856d6f6842b36764b7330d4e196389f6f2725efa6f0031,XB_DOWNLOADS/textures/road/Road007/,rua com faixa
Concrete034_1K-JPG.zip,Concrete034_1K-JPG.zip,ambientCG Concrete034,https://ambientcg.com/view?id=Concrete034,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,5839d284d94ffb8d2a56df742ec522b13dd311c52dbd42b8fd33f0409ceedb81,XB_DOWNLOADS/textures/road/Concrete034/,guia e calcada
Bricks104_1K-JPG.zip,Bricks104_1K-JPG.zip,ambientCG Bricks104,https://ambientcg.com/view?id=Bricks104,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,b3f75260eaff89008a1f6c29751e27d1edac3604046f1f99b02f56ca9d9a1a32,XB_DOWNLOADS/textures/environment/Bricks104/,fachada de tijolo
Plaster001_1K-JPG.zip,Plaster001_1K-JPG.zip,ambientCG Plaster001,https://ambientcg.com/view?id=Plaster001,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,944b4831016e42ace4a89422e4e7190912ca2f7fed6f561354c48ec7bb54d3a4,XB_DOWNLOADS/textures/environment/Plaster001/,fachada rebocada
Ground110_1K-JPG.zip,Ground110_1K-JPG.zip,ambientCG Ground110,https://ambientcg.com/view?id=Ground110,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,5c4ba182af130afbf297bc167205c2640f3ea9e0df921fbe0c423ac68004f356,XB_DOWNLOADS/textures/environment/Ground110/,terreno
Tiles141_1K-JPG.zip,Tiles141_1K-JPG.zip,ambientCG Tiles141,https://ambientcg.com/view?id=Tiles141,ambientCG (Lennart Demes),CC0-1.0,2026-08-31,6ee56eba21592b9c02c6ee78dd93c6b585b62a2558d143d53e19457c82379d52,XB_DOWNLOADS/textures/environment/Tiles141/,piso e fachada
clarens_midday_2k.hdr,clarens_midday_2k.hdr,Poly Haven HDRI,https://polyhaven.com/a/clarens_midday,"Dimitrios Savva, Jarod Guest",CC0-1.0,2026-08-31,a81c7b7ba6016856ef66de3e9b18780eec9edea8b41c312c2453f1b6180c8a70,XB_DOWNLOADS/hdri/,ceu de dia limpo
farmland_overcast_2k.hdr,farmland_overcast_2k.hdr,Poly Haven HDRI,https://polyhaven.com/a/farmland_overcast,Grzegorz Wronkowski,CC0-1.0,2026-08-31,26401f43d605bb4c96bdd76a624251a0ebdbef55735488852511ad1c6a88c41a,XB_DOWNLOADS/hdri/,ceu nublado
concrete_road_barrier_1k.gltf,concrete_road_barrier_1k.gltf,Poly Haven model 1k gltf,https://polyhaven.com/a/concrete_road_barrier,Amal Kumar,CC0-1.0,2026-08-31,c371e87d303fff3f0c9fbe88520f7837514364e5c66aac3244e115ffa673d061,XB_DOWNLOADS/models/props/concrete_road_barrier/,barreira de concreto
fire_hydrant_1k.gltf,fire_hydrant_1k.gltf,Poly Haven model 1k gltf,https://polyhaven.com/a/fire_hydrant,Gonçalo Felício,CC0-1.0,2026-08-31,aaca81b2904e6e5f1fb10a854c7b9a921232624387d1f8757b5c6bdaedcd9eb0,XB_DOWNLOADS/models/props/fire_hydrant/,hidrante
metal_trash_can_1k.gltf,metal_trash_can_1k.gltf,Poly Haven model 1k gltf,https://polyhaven.com/a/metal_trash_can,GurJas Studios,CC0-1.0,2026-08-31,ccdc55ecfe43db2174c9257891e92551882a874564bb9a7908cafc5268b46c0c,XB_DOWNLOADS/models/props/metal_trash_can/,lixeira metalica
modular_chainlink_fence_1k.gltf,modular_chainlink_fence_1k.gltf,Poly Haven model 1k gltf,https://polyhaven.com/a/modular_chainlink_fence,"James Ray Cock, Amal Kumar",CC0-1.0,2026-08-31,4204f151f809b4abd41ea0b18b1b6a5d9c23e6bcc0b6a81e44d03690f26604e9,XB_DOWNLOADS/models/props/modular_chainlink_fence/,alambrado modular
kenney_city-kit-commercial_2.1.zip,kenney_city-kit-commercial_2.1.zip,Kenney city-kit-commercial,https://kenney.nl/assets/city-kit-commercial,Kenney (kenney.nl),CC0-1.0,2026-08-31,f8b09b081c2bb88bcc126e2dec1cb40fd0dad7e7e591b6c26aaefe96fb35276b,XB_DOWNLOADS/models/city/kenney-city-kit-commercial/,predios comerciais e arranha-ceus — 41 GLB extraidos
kenney_city-kit-suburban_20.zip,kenney_city-kit-suburban_20.zip,Kenney city-kit-suburban,https://kenney.nl/assets/city-kit-suburban,Kenney (kenney.nl),CC0-1.0,2026-08-31,5869c35cf30b1c87bdb2d197b6d325eebadd2ef08ea27f04797e8e08d77a9a39,XB_DOWNLOADS/models/city/kenney-city-kit-suburban/,casas e predios de bairro — 40 GLB extraidos
kenney_city-kit-roads.zip,kenney_city-kit-roads.zip,Kenney city-kit-roads,https://kenney.nl/assets/city-kit-roads,Kenney (kenney.nl),CC0-1.0,2026-08-31,22058af3d68173a7cf9bda9f0e243a8cef6bd68168c302ebc76327063849674e,XB_DOWNLOADS/models/city/kenney-city-kit-roads/,"pecas de rua, calcada e cruzamento — 95 GLB extraidos"
